Bomb.MOD	OUTPUTNAME:煉金炸彈（Bomb）
Cestus.MOD	OUTPUTNAME:拳套（Cestus）
Stake.MOD	OUTPUTNAME:木樁（stake）
Bayonet.MOD	OUTPUTNAME:刺刀（Bayonet）
Spear (Boar).MOD	OUTPUTNAME:獵豬矛（Spear (Boar)）
Sword Cane.MOD	OUTPUTNAME:杖劍（Sword cane）
Bardiche.MOD	OUTPUTNAME:新月戰斧（Bardiche）
Bec de Corbin.MOD	OUTPUTNAME:鴉啄戰錘（Bec de corbin）
Bill.MOD	OUTPUTNAME:戈刀（Bill）
Glaive-Guisarme.MOD	OUTPUTNAME:尖刺大砍刀（Glaive-guisarme）
Lucerne Hammer.MOD	OUTPUTNAME:苜蓿戰錘（Lucerne hammer）
Chakram.MOD	OUTPUTNAME:飛輪（Chakram）
Pilum.MOD	OUTPUTNAME:重標槍（Pilum）
Dagger (Swordbreaker).MOD	OUTPUTNAME:折劍匕首（Dagger (Swordbreaker)）
Falcata.MOD	OUTPUTNAME:反曲劍（Falcata）
Khopesh.MOD	OUTPUTNAME:鐮劍（Khopesh）
Sword (Temple).MOD	OUTPUTNAME:儀劍（Temple sword）
Spear (Chain).MOD	OUTPUTNAME:鏈槍（Chain spear）
Mancatcher.MOD	OUTPUTNAME:捕人叉（Mancatcher）
Boomerang.MOD	OUTPUTNAME:回力鏢（Boomerang）
Crossbow (Double).MOD	OUTPUTNAME:雙發弩（Crossbow (Double)）
Lasso.MOD	OUTPUTNAME:套索（Lasso）
